Country,Happiness Rank,Region,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
Finland,1,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026
Denmark,2,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688
Switzerland,3,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741
Iceland,4,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114
Norway,5,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296
Netherlands,6,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062
Sweden,7,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267
New Zealand,8,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025
Austria,9,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083
Luxembourg,10,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352
Canada,11,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108
Australia,12,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134
United Kingdom,13,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992
Israel,14,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402
Costa Rica,15,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014
Ireland,16,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174
Germany,17,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462
