,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
0,Norway,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,NOR,developed
1,Denmark,2,7.521999836,1.4823830130000002,1.5511215930000002,0.792565525,0.6260067220000001,0.355280489,0.400770068,2.3137073519999998,DNK,developed
2,Iceland,3,7.504000187000001,1.48063302,1.6105740069999999,0.8335521220000001,0.627162635,0.47554022100000004,0.153526559,2.322715282,ISL,developed
3,Switzerland,4,7.493999958,1.5649795530000001,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,CHE,developed
4,Finland,5,7.468999863,1.443571925,1.540246725,0.80915767,0.6179508570000001,0.24548277300000002,0.38261154299999994,2.430181503,FIN,developed
5,Netherlands,6,7.376999855,1.503944635,1.4289392230000002,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096,NLD,developed
6,Canada,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,2.187264442,CAN,developed
7,New Zealand,8,7.31400013,1.405706048,1.548195124,0.8167597059999999,0.61406213,0.500005126,0.382816702,2.046456337,NZL,developed
8,Sweden,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,SWE,developed
9,Australia,10,7.28399992,1.484414935,1.510041952,0.843886793,0.6016073820000001,0.47769925,0.30118373,2.0652108190000003,AUS,developed
10,Israel,11,7.212999821,1.375382423,1.3762899640000001,0.838404,0.405988604,0.330082655,0.0852421,2.801757336,ISR,developed
11,Costa Rica,12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.10010658900000001,2.898639202,CRI,developed
12,Austria,13,7.006000042,1.4870972630000001,1.459944963,0.8153284190000001,0.56776619,0.316472322,0.221060365,2.138506413,AUT,developed
13,United States,14,6.993000031,1.546259284,1.419920564,0.7742866279999999,0.5057405229999999,0.392578781,0.135638788,2.218113422,USA,developed
14,Ireland,15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,1.7738690380000002,IRL,developed
15,Germany,16,6.951000214,1.4879233840000001,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2.015769958,DEU,developed
16,Belgium,17,6.890999794,1.463780761,1.462312698,0.8180918690000001,0.539770722,0.231503338,0.251343131,2.124210358,BEL,developed
17,Luxembourg,18,6.862999916000001,1.7419435980000002,1.457583666,0.845089495,0.596627891,0.28318098199999997,0.318834424,1.6195120809999999,LUX,developed
18,United Kingdom,19,6.714000225,1.44163394,1.49646008,0.8053359390000001,0.508190036,0.492774159,0.265428066,1.704143524,GBR,developed
19,Chile,20,6.65199995,1.25278461,1.2840249540000002,0.819479704,0.37689527899999997,0.32666242100000004,0.082287982,2.509585857,CHL,developing
20,United Arab Emirates,21,6.647999763,1.626343369,1.2664102320000001,0.7267982359999999,0.60834527,0.36094194700000004,0.324489564,1.734703541,ARE,developed
21,Brazil,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082,BRA,developing
22,Czech Republic,23,6.609000206,1.352682352,1.4338852169999998,0.7544440029999999,0.49094617399999996,0.088106759,0.036872927,2.451861858,CZE,developed
23,Argentina,24,6.598999977,1.1852954629999999,1.440451145,0.6951370840000001,0.494519204,0.109457061,0.059739888,2.614005327,ARG,developing
24,Mexico,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.12099043300000001,0.132774115,2.837154865,MEX,developing
25,Singapore,26,6.5720000270000005,1.69227767,1.3538143630000001,0.949492395,0.549840569,0.34596598100000003,0.464307785,1.2163620000000002,SGP,developed
26,Malta,27,6.52699995,1.343279839,1.488411665,0.8219442370000001,0.588767052,0.574730575,0.153066069,1.556862831,MLT,developed
27,Uruguay,28,6.453999996,1.217559695,1.412227869,0.7192168240000001,0.5793922539999999,0.17509692899999998,0.178061873,2.1724095340000003,URY,developed
28,Guatemala,29,6.453999996,0.8720019459999999,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,2.8938910960000004,GTM,developing
29,Panama,30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955,PAN,developed
30,France,31,6.441999912000001,1.430923462,1.3877768519999998,0.844465852,0.470222116,0.129762307,0.172502428,2.0059547419999997,FRA,developed
31,Thailand,32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,2.039508343,THA,developing
32,Taiwan Province of China,33,6.421999931,1.4336265330000002,1.3845653530000002,0.7939842340000001,0.361466587,0.258360475,0.063829236,2.1266074180000003,TWN,developed
33,Spain,34,6.402999877999999,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,1.92775774,ESP,developed
34,Qatar,35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,1.14546442,QAT,developing
35,Colombia,36,6.3569998739999996,1.070622325,1.4021829369999999,0.5950279239999999,0.477487415,0.149014473,0.046668742,2.616068125,COL,developing
36,Saudi Arabia,37,6.343999863,1.530623555,1.2866775990000001,0.59014833,0.449750572,0.14761601400000002,0.273432255,2.065429688,SAU,developing
37,Trinidad and Tobago,38,6.168000221000001,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,2.053247452,TTO,developing
38,Kuwait,39,6.105000018999999,1.6329524519999998,1.259698749,0.632105708,0.49633759299999997,0.22828979800000002,0.21515955,1.640425205,KWT,developing
39,Slovakia,40,6.09800005,1.325393558,1.505059242,0.7127329109999999,0.295817465,0.136544481,0.024210852,2.0977766509999998,SVK,developed
40,Bahrain,41,6.086999893,1.488412261,1.323110461,0.653133035,0.5367469189999999,0.17266848699999998,0.25704217,1.656149387,BHR,developed
41,Malaysia,42,6.084000111,1.29121542,1.284646034,0.618784428,0.40226498200000005,0.41660893,0.065600708,2.004448891,MYS,developing
42,Nicaragua,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.30167421699999997,0.13068798199999998,2.513930559,NIC,developing
43,Ecuador,44,6.007999897,1.0008203979999999,1.286168814,0.6856362220000001,0.45519819899999997,0.150112465,0.140134647,2.290352583,ECU,developing
