,Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
0,1,Finland,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.192,0.39299999999999996,2.988,FIN,developed
1,2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,2.7230000000000003,NOR,developed
2,3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,2.779,DNK,developed
3,4,Iceland,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,2.5639999999999996,ISL,developed
4,5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,2.675,CHE,developed
5,6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,2.7430000000000003,NLD,developed
6,7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,2.596,CAN,developed
7,8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,2.545,NZL,developed
8,9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,2.6010000000000004,SWE,developed
9,10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,2.441,AUS,developed
10,11,Israel,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,2.8989999999999996,ISR,developed
11,12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,2.544,AUT,developed
12,13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,3.011,CRI,developed
13,14,Ireland,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,2.149,IRL,developed
14,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2.431,DEU,developed
15,16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,2.455,BEL,developed
16,17,Luxembourg,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,2.09,LUX,developed
17,18,United States,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133,2.36,USA,developed
18,19,United Kingdom,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,2.184,GBR,developed
19,20,United Arab Emirates,6.774,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,,,ARE,developed
20,21,Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,2.528,CZE,developed
21,22,Malta,6.627000000000001,1.27,1.525,0.884,0.645,0.376,0.142,1.9269999999999998,MLT,developed
22,23,France,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,2.204,FRA,developed
23,24,Mexico,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,0.095,2.889,MEX,developing
24,25,Chile,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,2.5780000000000003,CHL,developing
25,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2.214,TWN,developed
